filename,author,realname,author_birth_year,author_death_year,author_sex,title,year,firstprint_description,edition_year,edition,genre,id
1970s/likhanov.muzyka.1971.vert,"Лиханов, Альберт Анатольевич",,1935,2021,м,Музыка,1971,"Музыка, М.: Детская литература, 1971",1971,"Музыка, М.: Детская литература, 1971",realism,likhanov.muzyka
1970s/likhanov.obman.1973.vert,"Лиханов, Альберт Анатольевич",,1935,2021,м,Обман,1974,"Семейные обстоятельства, М.: Молодая гвардия, 1974",1974,"Семейные обстоятельства, М.: Молодая гвардия, 1974",realism,likhanov.obman
1970s/likhanov.smert_uchitela.1971.vert,"Лиханов, Альберт Анатольевич",,1935,2021,м,Смерть учителя,1971,Сельская молодежь. 1971. № 7,1977,"Паводок, М.: Современник, 1977",realism,likhanov.smert_uchitela
1970s/lisniak.aleksandr.kolokolchik_prostotak.1977.vert,"Лисняк, Александр Георгиевич",,1952,None,м,Колокольчик Простотак ,1977,"Колокольчик Простотак. Сказка [Для дошкольного возраста], Л.: Дет. лит. Ленингр. отд-ние, 1977",1977,"Колокольчик Простотак. Сказка [Для дошкольного возраста], Л.: Дет. лит. Ленингр. отд-ние, 1977",skazka,lisniak.aleksandr.kolokolchik_prostotak
1970s/livanov.ded_moroz_i_leto.1971_1998.vert,"None, None None",,1935,None,м,Дед Мороз и лето,1971,"Дед Мороз и лето, М.: Бюро пропаганды советского киноискусства, 1971",1998,"Дед Мороз и Лето, М.: Самовар, Шалаш, 1998",skazka,livanov.ded_moroz_i_leto
1970s/loginov_nikolay.samaya_glavnaya_tayna.1973.vert,"Логинов, Виктор Николаевич",,1925,2012,м,Самая главная тайна,1973,"Самая главная тайна. Повесть [Для сред. школьного возраста], Воронеж: Центр.-Чернозем. кн. изд-во, 1973",1973,"Самая главная тайна. Повесть [Для сред. школьного возраста], Воронеж: Центр.-Чернозем. кн. изд-во, 1973",realism,loginov_nikolay.samaya_glavnaya_tayna
1970s/logunov.kolosok_s_kulikova_polya.1979.vert,"Логунов, Алексей Андреевич",,1939,2009,м,Колосок с Куликова поля,1979,"Колосок с Куликова поля [Повесть : Для сред. шк. возраста], Тула: Приок. кн. изд-во, 1979",1979,"Колосок с Куликова поля [Повесть : Для сред. шк. возраста], Тула: Приок. кн. изд-во, 1979",realism,logunov.kolosok_s_kulikova_polya
1970s/lvovskiy.eto_my_ne_prohodili.1975.vert,"Львовский, Михаил Григорьевич",,1919,1994,м,Это мы не проходили,1975,"Точка, точка, запятая.. [«Я вас любил...». Это мы не проходили]. Киноповести [Для сред. возраста], М.: Дет. лит., 1975",1975,"Точка, точка, запятая.. [«Я вас любил...». Это мы не проходили]. Киноповести [Для сред. возраста], М.: Дет. лит., 1975",realism,lvovskiy.eto_my_ne_prohodili
1970s/lvovskiy.tochka_tochka_zapyataya.1971_1975.vert,"Львовский, Михаил Григорьевич",,1919,1994,м,"Точка, точка, запятая...",1971,Пионер. 1971. № 4—5,1975,"Точка, точка, запятая..., М.: Детская литература, 1975",realism,lvovskiy.tochka_tochka_zapyataya
1970s/lvovskiy.ya_vas_lyubil.1975.vert,"Львовский, Михаил Григорьевич",,1919,1994,м,Я вас любил,1975,"Точка, точка, запятая.. [«Я вас любил...». Это мы не проходили]. Киноповести [Для сред. возраста], М.: Дет. лит., 1975",1975,"Точка, точка, запятая.. [«Я вас любил...». Это мы не проходили]. Киноповести [Для сред. возраста], М.: Дет. лит., 1975",realism,lvovskiy.ya_vas_lyubil
